Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
542.8388008,34869,541.6,35667,541.7,35724,540.8,35820,543.5,34682
544.231727,35103,542.52,35618,542.5,35656,540.78,35720,542.5,34540
543.542866,34953,541.6,35526,541.2,35585,540.75,35619,542,34614
542.5727445,34692,540.99,35547,541.5,35593,540.75,35619,546.5,34568
544.8331768,34390,543.13,35269,541.7,35315,540.68,35316,544.75,34121
542.8506444,34299,541.3,34961,541.5,34983,540.6,35014,543,33739
543.4681382,34302,541.91,34865,542,34957,540.6,35014,546.5,33710
542.1490018,33679,540.69,34508,541.5,34581,540.5,34612,546,33224
543.8762391,33546,541.91,34377,540.9,34442,540.47,34511,542.5,33305
543.2048537,33654,541.6,34374,542.1,34471,540.47,34511,547.75,33091
542.7033424,33707,541.3,34479,541.4,34499,540.47,34511,542,33389
360.8397156,33812,359.04,34335,541.08,34384,540.45,34411,540.5,33390
542.3859664,33629,540.99,34265,541,34286,540.42,34310,545.5,33050
542.5268339,33267,541.15,34076,540.6,34135,540.4,34210,545,33078
542.1114099,33322,540.69,34123,541.3,34178,540.4,34210,544,33127
542.4041011,33108,540.99,34104,541.4,34138,540.4,34210,546,33104
543.1481153,33163,541.15,33955,541.8,33973,540.35,34010,546,32550
543.2272718,33321,541.3,33989,541.8,33992,540.35,34010,544,32764
542.1044342,33055,540.69,33907,541.5,33987,540.35,34010,542.5,32688
543.281737,33062,541.3,33853,541,33917,540.35,34010,546,32584
542.5308955,32748,540.69,33490,541.3,33520,540.24,33609,544.5,32285
542.2922287,32771,540.69,33482,541.2,33517,540.24,33609,553,32539
543.5888922,32817,542.21,33485,541.05,33540,540.24,33608,548,32465
542.3854078,32797,541.15,33518,541,33521,540.22,33562,546.5,32141
542.361337,32452,540.99,33395,541.1,33416,540.19,33516,546.25,32240
543.8946969,32604,541.91,33393,541.2,33459,540.19,33516,542,32127
542.8673866,32620,541.3,33421,541.3,33508,540.19,33516,541,32282
542.7372097,32735,541.3,33293,541.05,33384,540.14,33424,541,32288
542.2725139,32410,540.99,33365,541.3,33377,540.12,33378,543,32242
542.7306691,32395,540.99,33290,541.2,33353,540.12,33377,541,32243
542.0560112,32333,540.69,33232,541.05,33245,540.09,33332,546.8333333,32183
543.0192933,32360,541.3,33235,541.1,33236,540.09,33332,542.5,31992
543.3187984,32501,541.3,33238,541,33268,540.07,33286,545.4166667,31921
